  -0.34580,  0.82629,  0.00000;
   0.73933, -0.11396,  0.00000;
   1.51911,  1.28943,  0.00000;
  -0.52134, -0.46460,  0.00000;
   1.07641, -2.11664,  0.00000;
   0.14430, -0.33237,  0.00000;
   0.41460, -2.55868,  0.00000;
   0.55205,  0.25895,  0.00000;
  -1.27963,  1.27286,  0.00000;
  -2.77764,  0.41959,  0.00000;
   0.00163,  0.40569,  0.00000;
  -1.31610,  0.38051,  0.00000;
  -0.22448, -0.63077,  0.00000;
   1.05942, -1.10812,  0.00000;
  -0.47431, -0.30255,  0.00000;
  -1.41802,  0.04954,  0.00000;
  -0.06051,  1.03253,  0.00000;
  -1.35051,  0.94906,  0.00000;
  -1.21913, -0.08581,  0.00000;
   0.71174, -0.33011,  0.00000;
   1.32737, -0.01131,  0.00000;
  -0.44682,  0.56677,  0.00000;
   0.59531, -1.31284,  0.00000;
   0.17960,  0.43830,  0.00000;
   0.06733, -0.51364,  0.00000;
  -0.46984,  0.36671,  0.00000;
  -0.45100,  0.41464,  0.00000;
  -0.21922,  0.45366,  0.00000;
  -0.70987, -1.38452,  0.00000;
  -0.01565, -0.88260,  0.00000;
  -1.40312,  0.97050,  0.00000;
  -0.42949, -0.87018,  0.00000;
  -2.71695,  0.61730,  0.00000;
   0.78032, -0.49216,  0.00000;
  -0.62760,  0.08080,  0.00000;
   0.74040,  0.92067,  0.00000;
  -1.11414,  0.28365,  0.00000;
   0.42299, -1.05525,  0.00000;
   2.04842,  0.94620,  0.00000;
   1.19415, -1.32906,  0.00000;
  -0.35820,  0.84907,  0.00000;
  -0.25892, -0.36833,  0.00000;
   0.20320,  0.42888,  0.00000;
   0.22709, -0.09417,  0.00000;
  -2.54232, -1.68576,  0.00000;
   1.19048, -0.72273,  0.00000;
  -0.10390,  0.65809,  0.00000;
  -0.82826,  0.35210,  0.00000;
  -0.22714, -0.36242,  0.00000;
  -0.49035,  1.83785,  0.00000;
   0.91879, -0.02613,  0.00000;
  -0.36283,  0.74247,  0.00000;
   0.10439, -0.77471,  0.00000;
  -0.89591,  0.31387,  0.00000;
  -0.73714, -0.34829,  0.00000;
  -0.13612, -0.34088,  0.00000;
   0.22104, -0.65905,  0.00000;
  -0.46176, -0.31440,  0.00000;
   0.92838, -0.88234,  0.00000;
   1.47726,  0.18894,  0.00000;
   1.13710,  0.24930,  0.00000;
   1.32936,  1.27715,  0.00000;
   0.88905,  1.20986,  0.00000;
   0.32433,  1.14492,  0.00000;
  -1.52942,  0.84461,  0.00000;
  -0.86154, -1.32303,  0.00000;
  -0.31136, -0.13529,  0.00000;
  -0.99328,  0.68381,  0.00000;
   0.92066, -1.67904,  0.00000;
   0.30544,  0.08934,  0.00000;
  -1.77964, -2.29240,  0.00000;
  -1.16065, -0.34333,  0.00000;
   0.44975, -0.41090,  0.00000;
   0.26384, -0.54825,  0.00000;
   0.40028, -1.96810,  0.00000;
  -0.50099, -1.13410,  0.00000;
  -0.57878,  0.70664,  0.00000;
  -0.71888,  1.40327,  0.00000;
   0.32798,  1.49876,  0.00000;
   1.10820, -0.69412,  0.00000;
  -0.17672,  0.28832,  0.00000;
   0.37925, -0.99598,  0.00000;
  -0.73941, -0.15729,  0.00000;
   0.78255,  1.77707,  0.00000;
  -1.29371, -0.46498,  0.00000;
  -0.92308,  0.67468,  0.00000;
   0.29970,  0.05545,  0.00000;
   0.48740, -0.88657,  0.00000;
  -0.40176,  0.52151,  0.00000;
   2.37304, -1.26415,  0.00000;
   1.72976,  0.59879,  0.00000;
   1.38612, -0.83588,  0.00000;
  -0.78487, -0.01359,  0.00000;
  -0.05392, -0.97749,  0.00000;
  -0.74987,  1.26476,  0.00000;
  -0.81637,  0.67529,  0.00000;
  -0.43897, -0.56891,  0.00000;
   0.41124,  0.70873,  0.00000;
   1.78124, -1.32405,  0.00000;
  -0.39588,  0.02990,  0.00000;
  -1.82700, -0.28994,  0.00000;
  -0.14057,  0.56460,  0.00000;
   0.37758,  0.99177,  0.00000;
   2.15694,  0.70497,  0.00000;
  -0.39775,  1.26196,  0.00000;
  -0.16342,  1.60659,  0.00000;
  -0.44668,  0.05478,  0.00000;
  -2.10016, -0.81517,  0.00000;
   1.93616, -0.43902,  0.00000;
  -2.07257, -0.51188,  0.00000;
  -2.31357, -1.03539,  0.00000;
   0.15342, -1.81614,  0.00000;
  -1.40299, -0.50865,  0.00000;
   1.01337, -0.67176,  0.00000;
   0.52141,  1.37527,  0.00000;
   0.47799, -0.04596,  0.00000;
   1.92050,  0.10954,  0.00000;
   1.10243,  0.71891,  0.00000;
   0.06646, -0.61312,  0.00000;
  -2.23206, -0.12410,  0.00000;
  -0.93243, -0.85142,  0.00000;
  -0.45072,  0.38575,  0.00000;
   1.97851,  0.95829,  0.00000;
  -1.06337,  0.22206,  0.00000;
   1.72109, -0.70066,  0.00000;
   0.36648, -0.07912,  0.00000;
   0.00365, -0.35166,  0.00000;
  -0.31575,  0.25709,  0.00000;
   0.89432, -0.46227,  0.00000;
  -0.97165,  0.16007,  0.00000;
  -0.86837, -0.32512,  0.00000;
  -0.43042, -0.44876,  0.00000;
   1.10276,  0.10914,  0.00000;
   0.07945,  0.87408,  0.00000;
  -0.30563, -0.75757,  0.00000;
   2.30590, -0.73587,  0.00000;
  -1.53486,  0.12918,  0.00000;
  -1.16179, -0.13730,  0.00000;
   0.02384, -0.88344,  0.00000;
   0.34209, -0.14072,  0.00000;
   0.52707, -0.15033,  0.00000;
  -0.18153, -0.01673,  0.00000;
  -0.65615, -2.06937,  0.00000;
  -0.09136,  0.11411,  0.00000;
  -0.28352, -1.25891,  0.00000;
   0.31750, -0.83935,  0.00000;
   0.10437,  0.59223,  0.00000;
   0.01008, -1.57671,  0.00000;
   1.58128,  0.00847,  0.00000;
  -0.49472,  0.62186,  0.00000;
  -1.19803,  0.82523,  0.00000;
  -0.75073,  0.33218,  0.00000;
   0.46706, -2.13675,  0.00000;
   0.45303, -0.75841,  0.00000;
   0.27154, -1.71470,  0.00000;
  -1.25990,  1.50889,  0.00000;
  -1.36179,  0.65269,  0.00000;
   0.46170,  0.31647,  0.00000;
  -1.04196,  0.31975,  0.00000;
  -1.50064, -0.45126,  0.00000;
   0.77454,  0.03136,  0.00000;
  -0.44787, -0.11690,  0.00000;
  -0.71112,  1.51831,  0.00000;
  -0.12794,  0.84092,  0.00000;
   1.51562, -0.48155,  0.00000;
  -0.68076,  0.28063,  0.00000;
  -1.59359, -1.33013,  0.00000;
  -1.63421,  0.82655,  0.00000;
  -0.74440,  0.85494,  0.00000;
  -1.00829,  1.24377,  0.00000;
  -0.31551,  1.79457,  0.00000;
  -0.17327,  0.50115,  0.00000;
  -0.56442,  0.60562,  0.00000;
   0.89432, -1.43199,  0.00000;
   0.94270, -0.78719,  0.00000;
  -0.17358, -2.08064,  0.00000;
   0.44278, -0.85171,  0.00000;
  -0.29832, -0.85319,  0.00000;
   0.66818, -0.24257,  0.00000;
   1.02579,  1.64146,  0.00000;
   0.03071, -0.37203,  0.00000;
  -0.41064,  1.84052,  0.00000;
   0.62193, -1.30114,  0.00000;
  -0.59613, -0.05631,  0.00000;
   0.53839,  0.45582,  0.00000;
   1.37276,  0.92307,  0.00000;
  -1.02924,  0.46287,  0.00000;
  -0.61782, -0.07157,  0.00000;
  -1.62639,  1.39426,  0.00000;
  -1.12679,  0.19644,  0.00000;
